Frequency	Magnitude	Phase
136.5198	32.4718	-119.9642
136.6760	30.6350	-124.9608
136.8322	31.9367	-119.5169
136.9884	31.3611	-123.1351
137.1446	30.9667	-113.7477
137.3008	32.9727	-122.5355
137.4570	35.9865	-122.0024
137.6132	33.4600	-119.9462
137.7694	30.6395	-125.3989
137.9256	32.2982	-124.0949
138.0818	30.9716	-121.3359
138.2381	33.5188	-128.4259
138.3943	31.8068	-119.4964
138.5505	30.5775	-123.2165
138.7067	29.6649	-120.0593
138.8629	33.2257	-117.5002
139.0191	30.5322	-129.0465
139.1753	29.3263	-119.5984
139.3315	29.5892	-120.3575
139.4877	30.6975	-125.0290
139.6439	30.0334	-124.7239
139.8001	31.4287	-123.9497
139.9563	31.5000	-128.6070
140.1125	32.4305	-127.3405
140.2687	29.5541	-127.6067
140.4249	29.8799	-128.0188
140.5811	29.2411	-129.8929
140.7373	31.4997	-122.0552
140.8935	28.9363	-121.7791
141.0497	29.4506	-125.6048
141.2059	27.2537	-126.8313
141.3621	30.5538	-119.2149
141.5183	30.0082	-128.5054
141.6745	26.9781	-119.8458
141.8307	26.4055	-115.1043
141.9869	29.4981	-120.2194
142.1431	28.2226	-125.5969
142.2993	26.8486	-120.0033
142.4555	30.3416	-118.1051
142.6117	29.2312	-117.3150
142.7679	25.2260	-114.5720
142.9241	26.4503	-125.7703
143.0803	28.2863	-118.7673
143.2365	26.2726	-126.7210
143.3927	27.6511	-121.7126
143.5489	28.0593	-126.2353
143.7051	28.1967	-127.3646
143.8613	28.4834	-123.7662
144.0175	27.6407	-120.7748
144.1737	24.9384	-117.8357
144.3299	24.9942	-115.4259
144.4861	27.1927	-130.1426
144.6423	24.5067	-129.4297
144.7985	25.4960	-124.0920
144.9547	28.2732	-116.6822
145.1109	27.6586	-123.2909
145.2671	27.4219	-123.9597
145.4233	25.7241	-122.4508
145.5795	27.5167	-121.8601
145.7357	25.3657	-130.2626
145.8919	22.8583	-127.6432
146.0481	25.3891	-119.2076
146.2043	26.4630	-123.1004
146.3605	25.1162	-122.8089
146.5167	23.4062	-133.1190
146.6729	23.7295	-119.5586
146.8291	25.6219	-122.4469
146.9853	25.8706	-126.3827
147.1415	24.4306	-123.9241
147.2977	24.7533	-117.0977
147.4539	25.6904	-120.3894
147.6101	25.4869	-123.4307
147.7663	24.9369	-126.5153
147.9225	22.6270	-133.6360
148.0787	23.2756	-116.1505
148.2349	22.2401	-132.2239
148.3911	25.1424	-116.6455
148.5473	22.1112	-119.9437
148.7035	22.0003	-118.1507
148.8597	25.6595	-124.3309
149.0159	22.1690	-122.8882
149.1721	22.8467	-121.8051
149.3283	23.1362	-122.6333
149.4845	24.1678	-124.5549
149.6407	24.4505	-126.8366
149.7969	24.6576	-138.9696
149.9531	23.2204	-136.0362
150.1093	24.3418	-120.8843
150.2655	22.5953	-128.6369
150.4217	23.6114	-125.0296
150.5779	21.0118	-122.9703
150.7341	20.9928	-122.6589
150.8903	22.0363	-128.8743
151.0465	21.4261	-129.8584
151.2027	20.7154	-122.2578
151.3590	19.5480	-123.5044
151.5152	21.6260	-123.5190
151.6714	22.7773	-124.5466
151.8276	21.7119	-130.7122
151.9838	21.2792	-125.9788
152.1400	23.5883	-127.0390
152.2962	22.6812	-125.2983
152.4524	20.2825	-128.1736
152.6086	21.9522	-121.5469
152.7648	22.9083	-122.5277
152.9210	19.9006	-126.1574
153.0772	19.6051	-132.0474
153.2334	21.1177	-123.4488
153.3896	21.3479	-121.8170
153.5458	20.1663	-125.4900
153.7020	20.1549	-116.6673
153.8582	19.3032	-132.1594
154.0144	20.3604	-131.5358
154.1706	19.8286	-126.0916
154.3268	21.3033	-121.2059
154.4830	21.5361	-128.1783
154.6392	21.1106	-129.0128
154.7954	19.9172	-124.6478
154.9516	20.7117	-126.1059
155.1078	21.5580	-125.7526
155.2640	18.6387	-130.3722
155.4202	20.9855	-131.2313
155.5764	18.9111	-124.5818
155.7326	19.7818	-123.7948
155.8888	20.2119	-126.1233
156.0450	17.0892	-120.6155
156.2012	19.0359	-130.0445
156.3574	18.7224	-125.2944
156.5136	18.9504	-122.5945
156.6698	19.1074	-125.8808
156.8260	20.0886	-124.2209
156.9822	18.3176	-123.9318
157.1384	21.1119	-131.6723
157.2946	20.4421	-126.4936
157.4508	18.6534	-129.4463
157.6070	17.3173	-124.6831
157.7632	18.7233	-132.2242
157.9194	18.4877	-125.2348
158.0756	19.3515	-130.5974
158.2318	17.5113	-121.9922
158.3880	20.3485	-127.5582
158.5442	18.8611	-122.9524
158.7004	16.6495	-126.1067
158.8566	16.1910	-136.9001
159.0128	19.7878	-122.9564
159.1690	20.0993	-122.7873
159.3252	18.8907	-130.5457
159.4814	18.5132	-130.2707
159.6376	17.0484	-124.6356
159.7938	17.0849	-133.2047
159.9500	19.5353	-132.6597
160.1062	16.7689	-132.5455
160.2624	17.9588	-128.0010
160.4186	17.2310	-129.4222
160.5748	16.1844	-132.4387
160.7310	18.8334	-131.0773
160.8872	15.6404	-126.9305
161.0434	18.4752	-125.7153
161.1996	17.9262	-131.1774
161.3558	16.4707	-131.3180
161.5120	19.4614	-131.4591
161.6682	15.7817	-134.9633
161.8244	15.8574	-121.9663
161.9806	16.9933	-127.9699
162.1368	19.5376	-125.6090
162.2930	16.4711	-130.2635
162.4492	16.6905	-127.5379
162.6054	16.9602	-130.4886
162.7616	17.5803	-122.0138
162.9178	17.8848	-126.4120
163.0740	16.7850	-133.0695
163.2302	17.2296	-131.2272
163.3864	17.0209	-130.3848
163.5426	16.4793	-135.4161
163.6988	18.3352	-127.7994
163.8550	18.9243	-133.2877
164.0112	16.8274	-131.1829
164.1674	16.5851	-130.8095
164.3236	16.2457	-131.1046
164.4799	18.5883	-127.8779
164.6361	16.2793	-128.3673
164.7923	15.9681	-130.5114
164.9485	15.1530	-126.8083
165.1047	16.3676	-126.4439
165.2609	17.3520	-120.0658
165.4171	18.3501	-125.7526
165.5733	15.3674	-128.7567
165.7295	14.6360	-131.5089
165.8857	18.2092	-122.8913
166.0419	16.2551	-125.3877
166.1981	13.2495	-126.2669
166.3543	16.8963	-128.4988
166.5105	16.5175	-137.9001
166.6667	18.3024	-131.7209
166.8229	15.7845	-129.6851
166.9791	17.7781	-130.8558
167.1353	18.1702	-124.7796
167.2915	14.9144	-128.4135
167.4477	15.6846	-125.1630
167.6039	15.5728	-129.4179
167.7601	16.2593	-131.1979
167.9163	14.9980	-132.1140
168.0725	16.7363	-133.3853
168.2287	15.0211	-134.2236
168.3849	16.8759	-122.7499
168.5411	15.0920	-129.1614
168.6973	14.8756	-129.1944
168.8535	12.4403	-136.3556
169.0097	13.3445	-128.7188
169.1659	12.0169	-133.3890
169.3221	15.0580	-123.3952
169.4783	16.1581	-132.7145
169.6345	14.2446	-129.0701
169.7907	15.1794	-133.0221
169.9469	15.7956	-126.9566
170.1031	13.6954	-124.4285
170.2593	14.2255	-125.4975
170.4155	14.4524	-129.3739
170.5717	15.0416	-130.3404
170.7279	13.4116	-127.4235
170.8841	14.7322	-131.4864
171.0403	15.4613	-134.9446
171.1965	16.8128	-126.0270
171.3527	14.1955	-117.7362
171.5089	16.4927	-138.2260
171.6651	14.5402	-135.1873
171.8213	14.9974	-135.1267
171.9775	15.4043	-131.7926
172.1337	16.0661	-127.5860
172.2899	17.9326	-136.0928
172.4461	15.3378	-129.6074
172.6023	14.7969	-126.3043
172.7585	15.2072	-132.0889
172.9147	14.9978	-128.5408
173.0709	14.3873	-133.4300
173.2271	13.8183	-128.4488
173.3833	15.0110	-125.9875
173.5395	15.2177	-132.5581
173.6957	14.4298	-131.5756
173.8519	16.0641	-128.8331
174.0081	12.0309	-128.2414
174.1643	17.1633	-136.4325
174.3205	15.4690	-131.9585
174.4767	12.3474	-130.6531
174.6329	14.5114	-131.0596
174.7891	12.7760	-136.5842
174.9453	13.5573	-131.2839
175.1015	13.4917	-128.9446
175.2577	12.0603	-135.0435
175.4139	14.7170	-133.7344
175.5701	12.7716	-125.4204
175.7263	15.1305	-131.7109
175.8825	12.8398	-132.4970
176.0387	15.0034	-129.8821
176.1949	14.6678	-130.6384
176.3511	14.3208	-128.8338
176.5073	13.7153	-132.6647
176.6635	13.2550	-138.2386
176.8197	14.6008	-133.3341
176.9759	13.4300	-131.7048
177.1321	13.0209	-131.5776
177.2883	13.6055	-130.4361
177.4445	14.4633	-132.8283
177.6007	13.4802	-133.6718
177.7570	15.5230	-133.6212
177.9132	12.1711	-132.7337
178.0694	13.5877	-130.3272
178.2256	16.8442	-131.2266
178.3818	13.4650	-131.5597
178.5380	12.6262	-136.3131
178.6942	13.6341	-141.7312
178.8504	12.6086	-133.4586
179.0066	14.8993	-132.8023
179.1628	14.4550	-136.3980
179.3190	15.0206	-123.9716
179.4752	11.8044	-135.3184
179.6314	14.4826	-135.6260
179.7876	14.9311	-136.5168
179.9438	14.2144	-134.4565
180.1000	14.3027	-133.9491
180.2562	14.4931	-133.1530
180.4124	13.7003	-133.9989
180.5686	13.9686	-125.1382
180.7248	12.7361	-125.1006
180.8810	15.0095	-131.4354
181.0372	14.3166	-125.5804
181.1934	12.7938	-136.5165
181.3496	13.5837	-128.3158
181.5058	12.9265	-131.9849
181.6620	13.3419	-132.8796
181.8182	12.8628	-129.3452
181.9744	16.0412	-136.0788
182.1306	13.5783	-126.7059
182.2868	11.5822	-135.3857
182.4430	11.3901	-135.2533
182.5992	14.7265	-130.4694
182.7554	16.0726	-129.6331
182.9116	15.0742	-134.9138
183.0678	12.1392	-133.8071
183.2240	14.4932	-132.2263
183.3802	13.7574	-135.6801
183.5364	14.0881	-135.6006
183.6926	13.2290	-135.2572
183.8488	12.5368	-127.2198
184.0050	13.6338	-134.5946
184.1612	13.9107	-137.0881
184.3174	12.4425	-127.2583
184.4736	14.3931	-141.6360
184.6298	12.9893	-137.3479
184.7860	13.9118	-134.8165
184.9422	12.3172	-135.2917
185.0984	14.6518	-127.8346
185.2546	12.5775	-137.2888
185.4108	12.4438	-132.7461
185.5670	12.2797	-139.5538
185.7232	13.3462	-137.9910
185.8794	13.4867	-127.8405
186.0356	13.7050	-135.0945
186.1918	13.0457	-139.3857
186.3480	14.4464	-135.0789
186.5042	12.3578	-129.8374
186.6604	14.2872	-133.9928
186.8166	12.3315	-136.8028
186.9728	13.8938	-136.6049
187.1290	13.1895	-139.8422
187.2852	13.5571	-134.0193
187.4414	13.4195	-128.3735
187.5976	15.2409	-131.7495
187.7538	12.8290	-129.7398
187.9100	13.5309	-123.3830
188.0662	14.2671	-134.8569
188.2224	15.0393	-142.5837
188.3786	13.3479	-140.9023
188.5348	10.0663	-139.3673
188.6910	11.0040	-134.3531
188.8472	13.4237	-131.3199
189.0034	13.0703	-135.3902
189.1596	14.4214	-135.0061
189.3158	14.1704	-136.0340
189.4720	15.2596	-136.0021
189.6282	13.0375	-129.2302
189.7844	13.7450	-133.9800
189.9406	12.9628	-134.4176
190.0968	13.0694	-129.1371
190.2530	14.0539	-140.4418
190.4092	15.1136	-134.2159
190.5654	12.3601	-136.8676
190.7216	15.0420	-135.2503
190.8779	15.1485	-132.8654
191.0341	12.5620	-136.5793
191.1903	12.5386	-140.0084
191.3465	13.0799	-138.4457
191.5027	11.7412	-139.6112
191.6589	12.9209	-130.4213
191.8151	12.2304	-144.1655
191.9713	13.0210	-132.5221
192.1275	11.9344	-134.4870
192.2837	12.6657	-137.6148
192.4399	13.8259	-134.2459
192.5961	13.1810	-136.6530
192.7523	12.8812	-137.0790
192.9085	12.4433	-138.3418
193.0647	13.6235	-137.5771
193.2209	12.5924	-127.2868
193.3771	15.7081	-133.4887
193.5333	12.9142	-134.4282
193.6895	14.4439	-131.4829
193.8457	11.4221	-137.7260
194.0019	14.2591	-142.8459
194.1581	12.3780	-137.6162
194.3143	16.4752	-129.8331
194.4705	12.5232	-135.1940
194.6267	12.3943	-132.9425
194.7829	13.9307	-138.0424
194.9391	10.9747	-138.3072
195.0953	12.7379	-145.2135
195.2515	12.3951	-136.1430
195.4077	12.5980	-133.6558
195.5639	13.2701	-136.9394
195.7201	12.4961	-136.1606
195.8763	13.0295	-142.8993
196.0325	12.8655	-138.9750
196.1887	12.2565	-145.7267
196.3449	12.3559	-135.5875
196.5011	13.7417	-149.3838
196.6573	14.6011	-132.6424
196.8135	13.5734	-134.8451
196.9697	12.2643	-134.0435
197.1259	11.0234	-134.0496
197.2821	13.2728	-138.0260
197.4383	13.6686	-141.1427
197.5945	13.5483	-134.4681
197.7507	13.0729	-139.7607
197.9069	12.2935	-136.2633
198.0631	12.9418	-134.1066
198.2193	12.9435	-132.3622
198.3755	11.9752	-134.6054
198.5317	12.6993	-143.9195
198.6879	12.5556	-131.0732
198.8441	12.6949	-139.1929
199.0003	15.6113	-135.9480
199.1565	14.4315	-137.8144
199.3127	10.8356	-133.3289
199.4689	12.6548	-136.3254
199.6251	12.3245	-141.7831
199.7813	12.3679	-135.7829
199.9375	13.1572	-134.3707
200.0937	10.4808	-139.8181
200.2499	13.7105	-142.4474
200.4061	14.2725	-146.0912
200.5623	12.1432	-131.7857
200.7185	12.2334	-138.7314
200.8747	11.6606	-136.1268
201.0309	13.0436	-138.8744
201.1871	13.4442	-136.8656
201.3433	13.6077	-136.6186
201.4995	13.1950	-136.4158
201.6557	13.3798	-132.3697
201.8119	14.2236	-130.8248
201.9681	11.6512	-134.8695
202.1243	12.1965	-142.9491
202.2805	12.3567	-125.8417
202.4367	13.3873	-138.5241
202.5929	12.2153	-137.0714
202.7491	14.6059	-141.1471
202.9053	13.0021	-137.1206
203.0615	13.3590	-140.3202
203.2177	12.5842	-137.6961
203.3739	12.3798	-141.8059
203.5301	16.5196	-134.9497
203.6863	11.8841	-132.2430
203.8425	13.4191	-135.0267
203.9988	10.4489	-135.8880
204.1550	12.5970	-144.7541
204.3112	14.1406	-140.8170
204.4674	13.2053	-143.8289
204.6236	12.5963	-143.1080
204.7798	14.0871	-136.0617
204.9360	13.4271	-138.1024
205.0922	13.4381	-134.0472
205.2484	15.3414	-141.7553
205.4046	13.6795	-140.6608
205.5608	13.0784	-143.3608
205.7170	12.5474	-133.1079
205.8732	11.3855	-143.8198
206.0294	11.7669	-144.4832
206.1856	11.7054	-136.4481
206.3418	12.1766	-142.2273
206.4980	13.8922	-135.8623
206.6542	14.3956	-147.2153
206.8104	13.2501	-137.7399
206.9666	14.1235	-136.7622
207.1228	12.8768	-145.1880
207.2790	11.8416	-137.9429
207.4352	12.2142	-136.8320
207.5914	12.5662	-140.6050
207.7476	15.0532	-136.5866
207.9038	13.6032	-142.6464
208.0600	12.4629	-140.6196
208.2162	15.2888	-142.3215
208.3724	15.2322	-136.1940
208.5286	15.0669	-142.2953
208.6848	13.0381	-139.3995
208.8410	12.6840	-133.4659
208.9972	13.4610	-142.7183
209.1534	13.7108	-141.7789
209.3096	13.2728	-142.2769
209.4658	11.9356	-138.7559
209.6220	15.7774	-146.0585
209.7782	12.4737	-137.5340
209.9344	13.1991	-138.9853
210.0906	13.7854	-139.3264
210.2468	14.1454	-138.2174
210.4030	14.8779	-139.4335
210.5592	12.6666	-138.8526
210.7154	14.5511	-138.8211
210.8716	14.2422	-135.0708
211.0278	15.7738	-141.0138
211.1840	14.5093	-135.7986
211.3402	14.5432	-139.8915
211.4964	15.6662	-136.0140
211.6526	13.2858	-139.4166
211.8088	13.0607	-140.8169
211.9650	13.7005	-143.7343
212.1212	14.7159	-133.6040
212.2774	14.1658	-145.0732
212.4336	15.4181	-139.1290
212.5898	16.9820	-140.8839
212.7460	14.3659	-144.4802
212.9022	13.5846	-139.5653
213.0584	13.9295	-143.4436
213.2146	16.5742	-146.4487
213.3708	14.1878	-137.8994
213.5270	14.8816	-142.8665
213.6832	14.0234	-143.1353
213.8394	11.9009	-142.9800
213.9956	13.7439	-144.2084
214.1518	15.1923	-136.1050
214.3080	15.5952	-145.4361
214.4642	13.5061	-141.9597
214.6204	15.5069	-144.3383
214.7766	13.8326	-145.2757
214.9328	14.3325	-136.9254
215.0890	16.0078	-140.7647
215.2452	12.0473	-141.2499
215.4014	14.1187	-144.6663
215.5576	13.3644	-142.1100
215.7138	16.3841	-144.6683
215.8700	13.4468	-139.6506
216.0262	14.9316	-137.8536
216.1824	14.4917	-145.8015
216.3386	15.2173	-140.6555
216.4948	16.2785	-140.7223
216.6510	15.2451	-146.7087
216.8072	16.3598	-148.2642
216.9634	12.8052	-137.7939
217.1197	14.6109	-144.7422
217.2759	16.6662	-142.7856
217.4321	16.1525	-141.0632
217.5883	14.5511	-140.8068
217.7445	16.7510	-135.5518
217.9007	16.9833	-143.7039
218.0569	16.2100	-141.4537
218.2131	16.4461	-148.0863
218.3693	15.7876	-145.2408
218.5255	15.1572	-142.0332
218.6817	15.9428	-141.7522
218.8379	16.0559	-142.1065
218.9941	16.1449	-138.0468
219.1503	17.0373	-138.8029
219.3065	16.9800	-137.6005
219.4627	16.6673	-139.2313
219.6189	16.0301	-146.2502
219.7751	16.0206	-137.4963
219.9313	17.0908	-136.8389
220.0875	17.7557	-141.5677
220.2437	17.7036	-143.6507
220.3999	16.5097	-141.1026
220.5561	16.0364	-146.9872
220.7123	15.3103	-146.1780
220.8685	17.3498	-135.3052
221.0247	15.1763	-146.1676
221.1809	20.2527	-144.6953
221.3371	17.1805	-135.2759
221.4933	17.4176	-137.8383
221.6495	18.4989	-150.7701
221.8057	18.7965	-141.2047
221.9619	17.4024	-145.6444
222.1181	19.1420	-141.6233
222.2743	18.6397	-141.3135
222.4305	20.0180	-151.4348
222.5867	18.3413	-147.3561
222.7429	19.6641	-149.6177
222.8991	19.1502	-144.1309
223.0553	18.8778	-146.7498
223.2115	18.7006	-144.5760
223.3677	19.8422	-152.4846
223.5239	20.4686	-136.0019
223.6801	18.0030	-141.7636
223.8363	18.3058	-138.4130
223.9925	20.0882	-134.1761
224.1487	20.8971	-144.6564
224.3049	21.6093	-153.1203
224.4611	20.6998	-144.1811
224.6173	19.6926	-134.8976
224.7735	20.1558	-148.7983
224.9297	18.8420	-139.3229
225.0859	18.2636	-145.9891
225.2421	20.9375	-137.5377
225.3983	22.0860	-129.8957
225.5545	20.9769	-149.1435
225.7107	20.7377	-137.9158
225.8669	20.8888	-142.2466
226.0231	21.1769	-150.6273
226.1793	20.3109	-145.2996
226.3355	22.9114	-143.5236
226.4917	22.0011	-144.4175
226.6479	22.2073	-135.7521
226.8041	23.2459	-144.3311
226.9603	21.0768	-143.4939
227.1165	22.0621	-143.8315
227.2727	20.7746	-135.9894
227.4289	21.4265	-141.7825
227.5851	21.8663	-143.1808
227.7413	22.4983	-145.8730
227.8975	23.0005	-141.2064
228.0537	23.2727	-144.9714
228.2099	24.7560	-145.1934
228.3661	24.2317	-150.1570
228.5223	25.3614	-144.2456
228.6785	24.0898	-142.4754
228.8347	25.9078	-140.5854
228.9909	23.4977	-142.7152
229.1471	23.1685	-142.1949
229.3033	24.6256	-151.7202
229.4595	24.5680	-148.5871
229.6157	25.0450	-144.4749
229.7719	27.7836	-134.3959
229.9281	25.5758	-145.9470
230.0843	27.0004	-151.6569
230.2405	24.1245	-145.7109
230.3968	26.0675	-144.5921
230.5530	26.4074	-144.7675
230.7092	24.7416	-148.7735
230.8654	26.6617	-149.1922
231.0216	27.6906	-144.2390
231.1778	26.1032	-132.4676
231.3340	27.8408	-148.4452
231.4902	27.9597	-144.6948
231.6464	25.5007	-144.1780
231.8026	27.3213	-148.4555
231.9588	26.6642	-145.8291
232.1150	28.3987	-140.8730
232.2712	25.1042	-143.8452
232.4274	27.1916	-147.6610
232.5836	28.4434	-144.5210
232.7398	27.5454	-146.6182
232.8960	28.3272	-147.7846
233.0522	26.8869	-136.0328
233.2084	29.9846	-144.2759
233.3646	27.0348	-145.4858
233.5208	32.0198	-142.7680
233.6770	30.5264	-144.1393
233.8332	30.2571	-139.1818
233.9894	29.4440	-150.1645
234.1456	30.2673	-139.1822
234.3018	29.3353	-144.5423
234.4580	28.9999	-153.0022
234.6142	29.4925	-151.3315
234.7704	31.2139	-145.6277
234.9266	31.8951	-148.5145
235.0828	29.4324	-146.8719
235.2390	31.3466	-140.4977
235.3952	29.9785	-145.8759
235.5514	32.2328	-150.1772
235.7076	31.8088	-146.5804
235.8638	33.5862	-146.3216
236.0200	31.5821	-147.3516
236.1762	32.8107	-138.5160
236.3324	33.2654	-141.2968
236.4886	31.0173	-148.3723
236.6448	33.2356	-143.6807
236.8010	32.1454	-149.5306
236.9572	30.9834	-147.0999
237.1134	31.9660	-147.4051
237.2696	34.8123	-147.0955
237.4258	35.8927	-147.9297
237.5820	33.0846	-148.9985
237.7382	35.3123	-144.0841
237.8944	35.0273	-148.5026
238.0506	32.4429	-148.2859
238.2068	36.0742	-147.9743
238.3630	35.6074	-148.7126
238.5192	34.4253	-150.1592
238.6754	33.1878	-158.2301
238.8316	37.1111	-150.2396
238.9878	35.1239	-149.9231
239.1440	37.7818	-145.4862
239.3002	36.4799	-137.1086
239.4564	37.7575	-142.4711
239.6126	35.9752	-152.8310
239.7688	36.7039	-146.8498
239.9250	38.0687	-146.1981
240.0812	37.1848	-152.4291
240.2374	38.1373	-147.3628
240.3936	38.0345	-148.7138
240.5498	36.6653	-146.5694
240.7060	39.6729	-151.5721
240.8622	38.0206	-145.4345
241.0184	38.5434	-149.0851
241.1746	38.7142	-149.0906
241.3308	40.7557	-143.6544
241.4870	37.7011	-143.8526
241.6432	36.4552	-148.5497
241.7994	39.4311	-148.4832
241.9556	39.8604	-151.5527
242.1118	40.5896	-155.0197
242.2680	40.1207	-150.6152
242.4242	39.8655	-146.6752
242.5804	39.4360	-145.8838
242.7366	42.1268	-149.8390
242.8928	39.8196	-148.4823
243.0490	38.0936	-145.4881
243.2052	39.1389	-150.1333
243.3614	40.5986	-146.5071
243.5177	39.6881	-149.7405
243.6739	40.3596	-141.7586
243.8301	39.5227	-152.8667
243.9863	40.8780	-151.5194
244.1425	41.7971	-150.4140
244.2987	41.8116	-146.4328
244.4549	41.4114	-151.4216
244.6111	41.5585	-152.0461
244.7673	43.2257	-151.7508
244.9235	42.8301	-145.5464
245.0797	39.5180	-155.8343
245.2359	39.6921	-148.9783
245.3921	42.7224	-158.8065
245.5483	42.0662	-150.0547
245.7045	41.4927	-151.1496
245.8607	42.2157	-151.9647
246.0169	42.4982	-152.6242
246.1731	44.3322	-147.2193
246.3293	42.2743	-145.0583
246.4855	42.3014	-147.5973
246.6417	41.6160	-152.3278
246.7979	40.7627	-153.0582
246.9541	40.7412	-151.1701
247.1103	42.7045	-156.7918
247.2665	42.7446	-158.0992
247.4227	42.1035	-144.5833
247.5789	45.5249	-145.5442
247.7351	43.3350	-149.7832
247.8913	41.9047	-151.9217
248.0475	39.6202	-157.3681
248.2037	43.4732	-152.7500
248.3599	41.3541	-155.7490
248.5161	42.5809	-154.1982
248.6723	41.4383	-153.8984
248.8285	41.2002	-142.1060
248.9847	43.7695	-150.6168
249.1409	43.5309	-150.2760
249.2971	44.3348	-150.5277
249.4533	43.4541	-148.9565
249.6095	42.4826	-146.5591
249.7657	42.9306	-150.4487
249.9219	42.1788	-152.4980
250.0781	42.2153	-141.8938
250.2343	45.2720	-153.0398
250.3905	44.7748	-154.0398
250.5467	41.8855	-160.1149
250.7029	42.9848	-158.2052
250.8591	43.5587	-154.2465
251.0153	43.6969	-154.0935
251.1715	42.8208	-154.4375
251.3277	42.7229	-151.6988
251.4839	42.2753	-156.9551
251.6401	43.1446	-159.2094
251.7963	42.9458	-157.3584
251.9525	42.9405	-155.7246
252.1087	41.7934	-157.9239
252.2649	40.0895	-160.2450
252.4211	43.0052	-164.5200
252.5773	41.3299	-166.0886
252.7335	42.8461	-161.7240
252.8897	40.5786	-166.4949
253.0459	39.7553	-170.3483
253.2021	42.7409	-156.2176
253.3583	41.1259	-175.2116
253.5145	41.7728	-169.6755
253.6707	40.9623	-165.6095
253.8269	41.4702	-170.3082
253.9831	42.2165	-169.0727
254.1393	43.9362	-166.7613
254.2955	42.8110	-173.7295
254.4517	42.8230	-167.9916
254.6079	41.9772	-174.4251
254.7641	39.8770	-172.5055
254.9203	40.4935	-171.2890
255.0765	39.3828	-178.4767
255.2327	41.7972	-174.2784
255.3889	40.4775	-178.2972
255.5451	39.7798	-177.4404
255.7013	39.0620	-178.4633
255.8575	39.7297	-170.7359
256.0137	40.1177	-174.6793
256.1699	41.4883	-187.1639
256.3261	37.9480	-173.4431
256.4823	39.2204	-179.2244
256.6386	39.1765	-181.9059
256.7948	38.5697	-174.8161
256.9510	40.6249	-185.0377
257.1072	40.2584	-182.2913
257.2634	38.9605	-184.2916
257.4196	39.3233	-182.2469
257.5758	40.0540	-186.2285
257.7320	38.1946	-181.0687
257.8882	38.3988	-189.8796
258.0444	38.7091	-193.2980
258.2006	35.6612	-187.2555
258.3568	38.8492	-188.2872
258.5130	37.4553	-193.7174
258.6692	38.2738	-195.6688
258.8254	38.6432	-198.4467
258.9816	37.8161	-191.4542
259.1378	37.1291	-190.2194
259.2940	38.1997	-197.2792
259.4502	38.6641	-194.7571
259.6064	38.9972	-194.6642
259.7626	37.4716	-198.2291
259.9188	38.2785	-196.7638
260.0750	38.5922	-207.8041
260.2312	35.7145	-191.3720
260.3874	35.6256	-207.3743
260.5436	37.2823	-197.8061
260.6998	37.2660	-196.7002
260.8560	36.2332	-201.5410
261.0122	35.2614	-200.9857
261.1684	35.1917	-203.1815
261.3246	36.1528	-198.2941
261.4808	32.4944	-208.5184
261.6370	33.8314	-202.8749
261.7932	34.7942	-210.6050
261.9494	34.5243	-205.5556
262.1056	33.5456	-204.1811
262.2618	34.1308	-208.4171
262.4180	35.3184	-214.7987
262.5742	33.2731	-219.9887
262.7304	33.4157	-206.8231
262.8866	32.8303	-210.3836
263.0428	32.0217	-213.6518
263.1990	34.1735	-214.1114
263.3552	35.1045	-206.0776
263.5114	32.3134	-215.2591
263.6676	32.3719	-219.8755
263.8238	32.5688	-221.9984
263.9800	31.3040	-215.9496
264.1362	31.3605	-213.6305
264.2924	30.8071	-219.2960
264.4486	30.6249	-219.0954
264.6048	31.4584	-214.9910
264.7610	31.2727	-218.1188
264.9172	33.6684	-219.5089
265.0734	31.0119	-224.0216
265.2296	31.8624	-220.2337
265.3858	31.7084	-222.8698
265.5420	31.1963	-213.8783
265.6982	27.3306	-216.7239
265.8544	30.5557	-221.2290
266.0106	28.4538	-220.8907
266.1668	32.0597	-222.8825
266.3230	30.6507	-222.7308
266.4792	28.6164	-220.7790
266.6354	28.4356	-223.5542
266.7916	29.5521	-220.6293
266.9478	27.8150	-230.6361
267.1040	30.2966	-219.8387
267.2602	28.9122	-220.9689
267.4164	30.7508	-217.4904
267.5726	29.2249	-223.7899
267.7288	26.7135	-229.7908
267.8850	27.1141	-217.8144
268.0412	28.4689	-220.1061
268.1974	26.3099	-231.7951
268.3536	25.0148	-223.2078
268.5098	26.1924	-219.4414
268.6660	25.2321	-228.8871
268.8222	26.8005	-219.5318
268.9784	26.9234	-224.8952
269.1346	24.9130	-219.8539
269.2908	25.5005	-219.8028
269.4470	26.1740	-214.9599
269.6032	23.9985	-216.5986
269.7595	26.2516	-220.9985
269.9157	22.8683	-224.6490
270.0719	25.0290	-216.7466
270.2281	27.2717	-217.3742
270.3843	26.7873	-218.8117
270.5405	23.3936	-222.9741
270.6967	25.1535	-220.8046
270.8529	23.3959	-223.4783
271.0091	24.5924	-226.6172
271.1653	20.7328	-229.3452
271.3215	22.6081	-221.3402
271.4777	22.4416	-216.6780
271.6339	24.1859	-226.5684
271.7901	24.5040	-221.1128
271.9463	23.1127	-224.8519
272.1025	21.9653	-223.1772
272.2587	22.3931	-219.4214
272.4149	22.2860	-228.1870
272.5711	23.8099	-224.2214
272.7273	25.1219	-221.4809
272.8835	21.1096	-228.8038
